date,revenue,order_count,average_order_amount,lunch_revenue,dinner_revenue,banquet_revenue,lunch_orders,dinner_orders,family_orders
2026-07-31,25535,117,218.25,9192,14044,2299,44,73,14
2026-08-01,26598,117,227.33,9575,14628,2395,44,73,21
2026-08-02,27237,131,207.92,9805,14980,2452,49,82,23
2026-08-03,24385,118,206.65,8778,13411,2196,44,74,14
2026-08-04,24595,106,232.03,8854,13527,2214,40,66,12
2026-08-05,25822,125,206.58,9295,14202,2325,47,78,15
2026-08-06,24369,117,208.28,8772,13402,2195,44,73,14
2026-08-07,25523,121,210.93,9188,14037,2298,45,76,14
2026-08-08,27340,124,220.48,9842,15037,2461,47,77,22
2026-08-09,26182,117,223.78,9425,14400,2357,44,73,21
2026-08-10,24820,112,221.61,8935,13651,2234,42,70,13
2026-08-11,24638,120,205.32,8869,13550,2219,45,75,14
2026-08-12,25460,123,206.99,9165,14003,2292,46,77,14
2026-08-13,26093,124,210.43,9393,14351,2349,47,77,14
2026-08-14,26171,115,227.57,9421,14394,2356,43,72,13
2026-08-15,26083,114,228.8,9389,14345,2349,43,71,20
2026-08-16,27347,133,205.62,9844,15040,2463,50,83,23
2026-08-17,25836,120,215.3,9300,14209,2327,45,75,14
2026-08-18,24842,112,221.8,8943,13663,2236,42,70,13
2026-08-19,24956,117,213.3,8984,13725,2247,44,73,14
2026-08-20,25163,119,211.45,9058,13839,2266,45,74,14
2026-08-21,26225,115,228.04,9441,14423,2361,43,72,13
2026-08-22,26802,124,216.15,9648,14741,2413,47,77,22
2026-08-23,27682,123,225.06,9965,15225,2492,46,77,22
2026-08-24,26800,126,212.7,9800,14800,2200,48,78,22
2026-08-25,27100,129,210.08,9900,15100,2100,49,80,24
2026-08-26,26400,124,212.9,9700,14600,2100,47,77,21
2026-08-27,21600,98,220.41,9200,10900,1500,44,54,12
2026-08-28,24700,114,216.67,9400,13600,1700,45,69,16
2026-08-29,26800,126,212.7,9600,14800,2400,46,80,26
