name,category,price,cost_price,gross_profit,gross_margin,sales_count,sales_amount,sales_trend,status
烤腱子肉,热菜,50,19,31,62.0,328,16400,23,active
凤梨虾球,热菜,68,24,44,64.7,246,16728,12,active
清蒸鲈鱼,海鲜,88,32,56,63.6,198,17424,8,active
蒜蓉粉丝扇贝,海鲜,56,18,38,67.9,186,10416,6,active
红烧肉,热菜,58,21,37,63.8,172,9976,5,active
碟鱼头,海鲜,88,30,58,65.9,164,14432,9,active
砂锅荔浦芋头,热菜,48,14,34,70.8,46,2208,4,active
红烧狮子头,热菜,58,16,42,72.4,52,3016,3,active
葱油鲍鱼,海鲜,98,28,70,71.4,41,4018,7,active
干煸四季豆,热菜,32,9,23,71.9,58,1856,2,active
清炒时蔬,热菜,28,8,20,71.4,61,1708,1,active
芹菜拌海米,凉菜,38,11,27,71.1,54,2052,5,active
家常豆腐,热菜,28,16,12,42.9,310,8680,2,active
酸辣土豆丝,热菜,22,13,9,40.9,286,6292,1,active
凉拌黄瓜,凉菜,18,10,8,44.4,264,4752,0,active
米饭,主食,3,1.2,1.8,60.0,890,2670,1,active
酸梅汤,酒水,12,7,5,41.7,240,2880,-2,active
油焖冬笋,热菜,42,29,13,31.0,18,756,-11,active
芙蓉虾仁,热菜,78,54,24,30.8,22,1716,-8,active
蟹粉豆腐,热菜,68,48,20,29.4,16,1088,-14,active
特色例汤,汤羹,28,9,19,67.9,142,3976,4,active
西红柿蛋汤,汤羹,22,8,14,63.6,118,2596,1,active
拍黄瓜,凉菜,16,6,10,62.5,96,1536,0,active
口水鸡,凉菜,48,22,26,54.2,88,4224,3,active
白切鸡,热菜,68,26,42,61.8,74,5032,2,active
糖醋排骨,热菜,58,24,34,58.6,81,4698,3,active
宫保鸡丁,热菜,46,18,28,60.9,93,4278,1,active
鱼香茄子,热菜,36,14,22,61.1,77,2772,2,active
手撕包菜,热菜,26,8,18,69.2,69,1794,1,active
蒜蓉西兰花,热菜,32,10,22,68.8,63,2016,2,active
清炒荷兰豆,热菜,36,12,24,66.7,44,1584,1,active
香辣蟹,海鲜,128,52,76,59.4,67,8576,6,active
白灼虾,海鲜,98,46,52,53.1,71,6958,4,active
葱姜炒蟹,海鲜,138,58,80,58.0,39,5382,2,active
清蒸黄花鱼,海鲜,108,44,64,59.3,48,5184,3,active
椒盐皮皮虾,海鲜,88,36,52,59.1,57,5016,5,active
海参捞饭,海鲜,168,72,96,57.1,33,5544,8,active
佛跳墙,热菜,198,86,112,56.6,21,4158,-3,active
东坡肘子,热菜,88,34,54,61.4,49,4312,2,active
梅菜扣肉,热菜,62,24,38,61.3,58,3596,1,active
干锅牛蛙,热菜,78,32,46,59.0,64,4992,4,active
铁板牛柳,热菜,72,30,42,58.3,61,4392,3,active
京酱肉丝,热菜,46,18,28,60.9,70,3220,1,active
蚂蚁上树,热菜,32,12,20,62.5,55,1760,0,active
酸菜鱼,热菜,88,36,52,59.1,76,6688,4,active
水煮牛肉,热菜,78,34,44,56.4,59,4602,2,active
麻婆豆腐,热菜,28,11,17,60.7,102,2856,1,active
干煸肥肠,热菜,68,29,39,57.4,43,2924,-1,active
凉拌木耳,凉菜,22,8,14,63.6,80,1760,0,active
皮蛋豆腐,凉菜,26,9,17,65.4,84,2184,1,active
卤水拼盘,凉菜,58,24,34,58.6,62,3596,2,active
蒜泥白肉,凉菜,48,20,28,58.3,51,2448,1,active
玉米排骨汤,汤羹,48,18,30,62.5,66,3168,3,active
老鸭汤,汤羹,68,26,42,61.8,47,3196,2,active
西湖牛肉羹,汤羹,38,14,24,63.2,53,2014,1,active
南瓜小米粥,主食,12,4,8,66.7,73,876,2,active
葱油拌面,主食,18,6,12,66.7,91,1638,3,active
扬州炒饭,主食,28,10,18,64.3,88,2464,2,active
馒头,主食,2,0.6,1.4,70.0,210,420,0,active
青岛啤酒,酒水,8,4.5,3.5,43.8,176,1408,1,active
可乐,酒水,6,3,3,50.0,154,924,0,active
茉莉花茶,酒水,18,5,13,72.2,49,882,2,active
白酒小瓶,酒水,38,18,20,52.6,42,1596,-2,active
时令水果盘,凉菜,48,22,26,54.2,37,1776,1,active
拔丝地瓜,热菜,32,12,20,62.5,29,928,-4,active
奶油南瓜,热菜,36,22,14,38.9,19,684,-9,active
芝士焗土豆,热菜,42,28,14,33.3,17,714,-12,active
