customer_index,order_no,order_date,amount,people_count,order_type,table_type
1,YJN202605260001,2026-05-26,536.44,5,家庭聚餐,小包间
1,YJN202604290002,2026-04-29,441.78,3,家庭聚餐,小包间
1,YJN202603220003,2026-03-22,536.44,8,朋友聚餐,大包间
1,YJN202602270004,2026-02-27,568.0,4,家庭聚餐,大包间
1,YJN202601250005,2026-01-25,252.44,4,家庭聚餐,卡座
1,YJN202512290006,2025-12-29,473.33,4,家庭聚餐,窗边
1,YJN202511220007,2025-11-22,568.0,4,家庭聚餐,大包间
1,YJN202511100008,2025-11-10,504.89,2,家庭聚餐,大厅
1,YJN202510300009,2025-10-30,378.68,5,家庭聚餐,小包间
2,YJN202606120010,2026-06-12,569.05,8,商务宴请,大包间
2,YJN202605230011,2026-05-23,468.63,8,商务宴请,大包间
2,YJN202605050012,2026-05-05,368.21,5,生日宴,小包间
2,YJN202603270013,2026-03-27,334.74,6,家庭聚餐,小包间
2,YJN202602150014,2026-02-15,435.16,8,商务宴请,大包间
2,YJN202601090015,2026-01-09,569.05,8,商务宴请,大包间
2,YJN202512010016,2025-12-01,435.16,8,商务宴请,大包间
3,YJN202606020017,2026-06-02,576.0,6,家庭聚餐,小包间
3,YJN202605170018,2026-05-17,576.0,6,家庭聚餐,小包间
3,YJN202604230019,2026-04-23,480.0,5,家庭聚餐,小包间
3,YJN202603230020,2026-03-23,384.0,6,家庭聚餐,小包间
3,YJN202602180021,2026-02-18,512.0,6,家庭聚餐,小包间
3,YJN202601180022,2026-01-18,256.0,3,普通用餐,大厅
3,YJN202601080023,2026-01-08,288.0,4,家庭聚餐,卡座
3,YJN202512060024,2025-12-06,448.0,3,家庭聚餐,卡座
4,YJN202606190025,2026-06-19,612.57,6,生日宴,小包间
4,YJN202606030026,2026-06-03,536.0,6,生日宴,小包间
4,YJN202605050027,2026-05-05,612.57,5,生日宴,小包间
4,YJN202603280028,2026-03-28,306.29,8,公司聚餐,大包间
4,YJN202602150029,2026-02-15,306.29,4,生日宴,卡座
4,YJN202601090030,2026-01-09,306.28,5,生日宴,小包间
5,YJN202605190031,2026-05-19,637.5,8,商务宴请,大包间
5,YJN202604220032,2026-04-22,450.0,8,商务宴请,大包间
5,YJN202604130033,2026-04-13,562.5,8,商务宴请,大包间
5,YJN202603060034,2026-03-06,300.0,8,商务宴请,大包间
5,YJN202602100035,2026-02-10,487.5,6,普通用餐,小包间
5,YJN202512270036,2025-12-27,487.5,3,普通用餐,大厅
5,YJN202511130037,2025-11-13,675.0,8,商务宴请,大包间
5,YJN202510220038,2025-10-22,337.5,8,商务宴请,大包间
5,YJN202510110039,2025-10-11,525.0,8,商务宴请,大包间
5,YJN202508270040,2025-08-27,637.5,8,商务宴请,大包间
6,YJN202606250041,2026-06-25,567.27,8,商务宴请,大包间
